# Name	AO	GBT	AO_UWB	GBT_UWB	DSA2K_full	DSA2K_half	DSA2K_qtr	VLA_LS	ngVLA_Band12
J182154-140319	-2	274582.616689	-2	31657.5905513	264574.205759	264691.976249	265162.539532	26476.2520652	1237.18400032
J174810-280241	-2	276141.666476	-2	43077.3935661	264584.750201	264601.495967	264668.492621	31847.7015337	3617.0315215
J181611-150746	-2	275294.906212	-2	41218.0864783	265818.298547	265857.059715	266012.063071	31011.8752959	6038.83912259
J180523-191642	-2	272571.07885	-2	30383.6838753	265912.172578	265911.149427	265911.42491	25673.1661309	1615.38621657
J180921-241434	-2	277231.327333	-2	32311.5039761	267189.897474	267351.818811	267998.529581	26351.7453248	1858.3975941
J171559-420252	-2	272399.247294	-2	35003.4086097	267270.339139	267271.804772	267277.970676	26874.6306868	2587.00640152
J180531-231145	-2	324405.609329	-2	28134.3542318	267731.840327	269497.146478	276445.667007	25212.6993423	1335.59077094
J171118-403320	-2	305278.330979	-2	37657.1175499	267791.528162	268895.833564	273268.433103	30983.1902736	3024.81069812
J174214-315709	-2	286968.108814	-2	32782.2032796	267870.729803	268199.482249	269510.483482	28997.486611	2215.37624652
J181527-135756	-2	329447.795463	-2	43697.4486891	268677.562596	270651.905485	278409.301666	35633.5399054	4440.35183702
J182145-184642	-2	285574.6417	-2	29594.0752326	268729.046067	269140.694736	270781.032836	24945.231217	2484.26656436
J190624+091857	105167.014474	286947.519162	31014.9671062	35850.7334806	268901.485386	269371.346535	271242.653177	27588.6229079	2691.8948765
J182416-124405	-2	285497.803425	-2	33704.1466894	271777.158678	272019.26593	272985.550058	28120.8966156	2264.81881635
J174106-314103	-2	283736.368181	-2	39181.1975147	272666.665481	272670.224682	272684.576336	32023.0843867	2326.69793833
J175333-232756	-2	285786.77478	-2	27021.9044414	272762.86917	272849.857265	273197.541734	23557.2500608	908.953660326
J171316-383838	-2	330524.539945	-2	30709.84478	273141.742904	274975.265453	282190.248571	27469.8125039	1561.11088583
J172260-355444	-2	316289.050638	-2	44822.2507355	273161.764512	274429.982217	279445.30336	37148.4815416	11164.1294142
J171255-374932	-2	284732.835211	-2	31520.0803221	273465.44763	273599.137397	274133.255925	27045.6249516	2380.25021179
J174322-283757	-2	318777.7874	-2	34183.3214124	274049.385614	275335.53726	280421.16138	30677.1212904	2848.84311549
J183601-075510	-2	281696.980177	-2	35616.493855	274149.245775	274161.377331	274209.962925	29275.5131759	3350.6341263
J173241-262556	-2	300055.09167	-2	40544.7260818	274448.693607	275167.954554	278026.392169	30605.2999649	5541.50095117
J165245-412049	-2	282358.676024	-2	41625.4018666	274996.448626	274994.60662	274994.48985	30704.560719	5826.43564668
J173732-335133	-2	282408.496796	-2	35671.2837513	275017.479502	275032.131662	275090.777628	28838.7353142	2284.15450245
J172407-345437	-2	288518.949979	-2	34945.7907064	275463.743102	275661.433927	276450.787912	29252.4921543	2886.48093177
J173250-341103	-2	350022.931733	-2	34474.3655266	275938.411874	278465.600376	288352.951344	31395.6795023	4303.55079611
J175114-263037	-2	286631.564557	-2	37456.5884338	276539.669177	276607.853099	276880.428229	30761.5997153	3901.55441824
J175530-225148	-2	346655.68306	-2	40320.5313121	278200.563801	280506.744377	289547.84338	34611.5798331	3442.74114657
J181113-154920	-2	294720.55484	-2	39371.3495617	278338.750951	278649.688341	279889.985324	31038.5409287	3623.4496297
J181145-212031	-2	290024.677329	-2	38930.5459051	279472.969033	279578.732942	280001.39526	30661.9551964	3553.14034377
J173819-300701	-2	290341.538225	-2	32969.4203811	280202.710366	280204.10901	280210.120751	29101.0220705	1960.70040055
J172905-345603	-2	398986.266723	-2	38799.5713541	280852.379962	285340.865605	302629.824519	35793.065698	4114.55404735
